year,incidents,ext_killed,sf_killed,civ_killed,total_fatalities,kidnapped,RCI
1999,294,118,4,26,148,107,0.41
2000,195,84,4,13,101,58,0.41
2001,128,65,1,16,82,24,0.35
2002,208,71,3,16,90,34,0.35
2003,199,70,3,13,86,163,0.35
2004,186,55,0,42,97,42,0.35
2005,192,70,1,28,99,65,0.35
2006,309,116,2,29,147,114,0.35
2007,272,109,1,44,154,85,0.35
2008,321,140,3,70,213,110,0.36
2009,129,15,0,16,31,35,0.36
2010,64,5,0,0,5,42,0.36
2011,61,8,0,7,15,59,0.3
2012,151,66,0,8,74,93,0.3
2013,145,33,0,11,44,100,0.3
2014,77,12,0,1,13,65,0.3
2015,102,29,9,9,47,78,0.28
2016,58,5,0,0,5,51,0.28
2017,19,4,1,3,8,12,0.28
2018,42,4,3,3,10,63,0.28
2019,42,1,2,1,4,49,0.28
2020,23,2,0,0,2,33,0.23
2021,47,1,0,0,1,54,0.23
2022,31,1,0,0,1,36,0.23
